No.,State,District,Date,Flood Cause,Main River Basin,latitude,longitude,geocode_status
56,Selangor,Klang,1/5/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Klang (Palm Grove); Sungai Klang (Taman Selatan); Sungai Klang (SMK Tengku Ampuan Rahimah Klang); Sungai Klang (SK Simpang Lima Klang),3.0392164,101.4418818,success
57,Sarawak,Sri Aman,30/04/2025,Air Laut Pasang,Batang Lupar (Jalan Upik - Lingga),1.237031,111.462079,success
58,Negeri Sembilan,Kuala Pilah,30/04/2025,"Air Sungai Melimpah , Saliran Dalaman",Sungai Muar (GNTUTP0001 - Kg. Guntur); Sungai Muar (Kg Orang Asli Chergun),2.7004729,102.2261837,success
59,Negeri Sembilan,Kuala Pilah,29/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan","Sungai Muar (MJLITP0009 - Kg. Air Taling); Sungai Muar (Kampung Kabong, Inas)",2.7004729,102.2261837,success
60,Selangor,Hulu Langat,29/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Langat (LGATTP0021 - Kg. Felcra Sg. Semungkis),3.1132958,101.8159546,success
61,Sabah,Tuaran,29/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Tuaran (KLANTP0002 - Kg. Kauluan),6.176269,116.23279,success
62,Sarawak,Sri Aman,29/04/2025,Air Laut Pasang,"Batang Lupar (Gran Baru, Stumbin)",1.237031,111.462079,success
63,Sarawak,Sri Aman,29/04/2025,Air Laut Pasang,Batang Lupar (Jalan Seduku - Lingga),1.237031,111.462079,success
64,Melaka,Jasin,29/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Duyong (AYPNTP0004 - Kg. Lubok Kasau Bemban),2.311337,102.4309231,success
65,Negeri Sembilan,Kuala Pilah,29/04/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Muar (MJLITP0009 - Kg. Air Taling),2.7004729,102.2261837,success
66,Negeri Sembilan,Port Dickson,28/04/2025,Lain-lain,Sungai Linggi (Dataran Tanjung Agas); Sungai Linggi (Pintu Kawalan Pasang Surut Sg Raya),2.52254,101.7962932,success
67,Perak,Batang Padang,28/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Perak (SKITP0002 - Kg. Klah Baru); Sungai Perak (TRLKTP0001 - Felda Trolak Utara),4.1974675,101.2592696,success
68,Kedah,Baling,28/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Muda (KG SIPUT); Sungai Muda (Kg Charok Sotong),5.673566,100.9158818,success
69,Kedah,Sik,26/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Struktur / Lintasan Menghalang Laluan Air",Sungai Muda (KG. BANGGOL KIAT); Sungai Muda (CPLTP00024 - Kg. Kemelong),5.8194835,100.7442359,success
70,Pahang,Jerantut,26/04/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",Sungai Pahang (BETOTP0001 - Taman Ria),3.937395,102.3620378,success
71,Pahang,Lipis,26/04/2025,"Air Sungai Melimpah , Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (JLAITP0018 - Kampung Redan),4.1792487,102.0538096,success
72,Pahang,Lipis,26/04/2025,"Air Sungai Melimpah , Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman",Sungai Pahang (Kg Atong); Sungai Pahang (Kg. Sg Damak),4.1792487,102.0538096,success
